client_name,registrant_name,filing_year,filing_period,amount,show_record_key
FEDEX CORPORATION,FEDEX CORPORATION,2025,fourth_quarter,3700000,6fb7d4d2-0244-4657-bacc-57ab9abbeffc
NORFOLK SOUTHERN CORPORATION,NORFOLK SOUTHERN CORPORATION,2025,fourth_quarter,720000,5210f1e6-288e-403d-abca-60fe07075d2f
AIRLINES FOR AMERICA,"CROSSROADS STRATEGIES, LLC",2023,second_quarter,90000,402fba41-82a5-4a80-86c3-d3f7217f0828
"AMERICAN AIRLINES, INC.",PENN AVENUE PARTNERS,2024,second_quarter,200000,8151c37b-0074-4ec6-8522-cf772f255def
ASSOCIATION OF AMERICAN RAILROADS,ASSOCIATION OF AMERICAN RAILROADS,2025,second_quarter,1490000,e9dccf6b-a713-48ba-8e74-8857301f97f2
SOUTHWEST AIRLINES,SOUTHWEST AIRLINES,2025,second_quarter,410000,fb878a7b-1309-433a-9f8b-bfe1a7055569
BNSF RAILWAY COMPANY,BNSF RAILWAY COMPANY,2026,first_quarter,940000,0d6fbfb8-be6c-4dbb-addc-99561d6c97c9
U.S. TRAVEL ASSOCIATION,U.S. TRAVEL ASSOCIATION,2023,first_quarter,1080000,9a4ef6b6-6f21-4f70-8085-1768bebcd6e8
AMERICAN AIRLINES INC,"AMERICAN AIRLINES, INC.",2022,first_quarter,1490000,359b8592-939b-4ded-a200-4a22db914b5b
LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY,HOLLAND & KNIGHT LLP,2025,second_quarter,40000,b4f29a98-5926-42ea-9db4-7d2a507b4dd9
DELTA AIR LINES,"NAVIGATORS GLOBAL LLC (FORMERLY DC NAVIGATORS, LLC)",2023,first_quarter,60000,468c42be-8001-42a9-8ef7-579cf63c52f6
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,2025,second_quarter,470000,cdd150b8-0b1e-4ce1-8a1c-2b4bd4fa4e27
THE BOEING COMPANY,"AVOQ, LLC",2024,second_quarter,80000,9193442e-9331-4443-9ad9-2793fc5d19e8
AMERICAN ASSOCIATION OF AIRPORT EXECUTIVES,AMERICAN ASSOCIATION OF AIRPORT EXECUTIVES,2026,first_quarter,1190059,a1d9e901-6f9d-4995-83fb-669a86919f34
JETBLUE AIRWAYS CORPORATION,JETBLUE AIRWAYS CORPORATION,2024,first_quarter,880000,31789ed9-23ce-432a-932a-6cf3b63b4cf7
UNITED AIRLINES INC,"UNITED AIRLINES, INC.",2023,second_quarter,3810000,1b44c413-6976-4045-8908-830a37b7c889
NATIONAL BUSINESS AVIATION ASSOCIATION,S-3 GROUP,2023,first_quarter,40000,c94ac36c-a18b-49c6-a254-4ba6a8538a04
MIAMI-DADE COUNTY,ALCALDE & FAY,2025,third_quarter,40000,cd63af0f-af85-4507-88ae-17cbd81bc574
"UBER TECHNOLOGIES, INC.","UBER TECHNOLOGIES, INC.",2025,third_quarter,1010000,2a389bf9-0523-40bb-989e-a876be3b1be3
AMERICAN CHEMISTRY COUNCIL,AMERICAN CHEMISTRY COUNCIL,2025,fourth_quarter,6800000,01898f92-4cd3-4b89-b6e6-223117cb1a6a
"NESTE US, INC.","NESTE US, INC.",2023,first_quarter,280000,dfa5bbf9-31ad-4d31-8f6d-4b77cae04392
AMERICAN TRUCKING ASSOCIATIONS,AMERICAN TRUCKING ASSOCIATIONS,2024,second_quarter,820000,8a124403-7525-49e2-966c-905c92a137d6
"DJI TECHNOLOGY, INC.","DJI TECHNOLOGY, INC.",2025,third_quarter,650000,e770a6ef-2a7a-4f0c-bedd-8fbd0b92ab6b
VULCAN MATERIALS COMPANY,VULCAN MATERIALS COMPANY,2026,first_quarter,430000,9ca14880-5811-4873-8b0a-da6baefb54a9
NATIONAL ASPHALT PAVEMENT ASSOCIATION,NATIONAL ASPHALT PAVEMENT ASSOCIATION,2023,first_quarter,160000,42cc87ae-14a1-456a-a585-164a5b2c8878
