client_name,registrant_name,filing_year,filing_period,amount,keyword_example,show_record_key
EDISON ELECTRIC INSTITUTE,EDISON ELECTRIC INSTITUTE,2024,first_quarter,4049205,energy storage,b2a775a0-cc37-4614-aee7-69334024b4cc
FORD MOTOR COMPANY,FORD MOTOR COMPANY,2023,first_quarter,2489019,30d,e8cc127b-6a2e-4cf5-b64c-1d36d2fc832f
RIO TINTO SERVICES INC.,"THE SMITH-FREE GROUP, LLC",2023,first_quarter,80000,critical minerals,15986e93-11c9-4951-8cfb-921cc286b642
GENERAL MOTORS COMPANY,GENERAL MOTORS COMPANY,2026,first_quarter,11380000,45x,38a74567-353f-4c15-af86-1e5d2c40a243
NEWRANGE COPPER NICKEL LLC,"CGCN GROUP, LLC",2025,third_quarter,80000,critical minerals,e560d2e6-f6ba-4aca-9f45-f65be810bfee
MP MATERIALS,AMERICAN DEFENSE INTERNATIONAL,2022,first_quarter,60000,rare earth,1558631e-5a20-4781-a5e3-2af879f5c9d4
"AMERICAN HONDA MOTOR CO., INC.","AMERICAN HONDA MOTOR CO., INC.",2025,second_quarter,1667006,45x,d9544227-9883-47cf-ad38-2125c6882871
SOLAR ENERGY INDUSTRIES ASSOCIATION,SOLAR ENERGY INDUSTRIES ASSOCIATION,2025,second_quarter,950000,energy storage,baa21b04-fdc3-48e2-ad99-4bc97e57321e
THE MOSAIC COMPANY,THE MOSAIC COMPANY,2026,first_quarter,830000,critical minerals,e938c948-9ee3-4f55-b8b9-5468a8939914
UNIVERSITY OF ALASKA,UNIVERSITY OF ALASKA,2024,first_quarter,130000,critical minerals,5cc2932f-5e37-4344-9388-54c3ee158968
SOLAREDGE TECHNOLOGIES INC.,SOLAREDGE TECHNOLOGIES INC.,2025,third_quarter,190000,45x,16675137-b06f-4da7-983b-f90a2794bd3d
AMERICAN CLEAN POWER ASSOCIATION,AMERICAN CLEAN POWER ASSOCIATION,2023,second_quarter,580000,energy storage,dee82aff-0916-4b58-a184-71b4ad29e2b7
NUTRIEN US LLC (FORMERLY KNOWN AS AGRIUM U.S. INC.) (A NUTRIEN LTD SUBSIDIARY),NUTRIEN US LLC (FORMERLY KNOWN AS AGRIUM U.S. INC.) (A NUTRIEN LTD SUBSIDIARY).,2025,second_quarter,1170000,critical minerals,f470c462-cc29-4ee1-a359-c781db31ff55
BIPARTISAN POLICY CENTER ACTION,BIPARTISAN POLICY CENTER ACTION,2022,fourth_quarter,960000,critical minerals,49d03971-a6a1-4838-89fd-1f8a00110722
FCA US LLC,FCA US LLC,2025,first_quarter,1080000,critical minerals,a93e5baf-3131-4015-bcde-b84c3602ca07
"RIO TINTO SERVICES, INC.","RIO TINTO SERVICES, INC.",2023,third_quarter,400000,critical minerals,00ea1462-9c22-401b-a2bd-111176aea9b7
AIR LIQUIDE USA LLC,BRACEWELL LLP,2022,fourth_quarter,100000,energy storage,7c964972-ec25-413e-8085-ecfd1e34cd26
ALLIANCE FOR AUTOMOTIVE INNOVATION,ALLIANCE FOR AUTOMOTIVE INNOVATION,2025,first_quarter,2751010,critical minerals,d6724266-8bfb-47cc-b4c8-777608f49401
MICROSOFT CORPORATION,MICROSOFT CORPORATION,2025,second_quarter,2570000,energy storage,764c6eb7-7a39-4f4c-ab48-d78b83bea5ed
PORTLAND GENERAL ELECTRIC,PORTLAND GENERAL ELECTRIC,2024,fourth_quarter,240000,energy storage,3c563588-653a-416c-9ef7-3f7319826e1e
"APPLIED MATERIALS, INC.",RICCHETTI INCORPORATED,2024,third_quarter,60000,energy storage,130aefa7-d570-4b3d-b3de-d99b879e202d
THE METALS COMPANY,THE VOGEL GROUP,2025,third_quarter,92000,critical minerals,3389698c-47d8-44e2-b214-51bbde03ed95
AMEREN SERVICES,AMEREN SERVICES,2022,first_quarter,1110000,energy storage,425c1d9c-7565-4038-a198-629fced6c966
ANGLO AMERICAN,ANGLO AMERICAN,2024,second_quarter,60000,critical minerals,6ae40c3f-dec3-4b85-8f22-1eb82a6977aa
ARKEMA INC. AND ITS AFFILIATES (FKA ARKEMA INC.),ARKEMA INC. AND ITS AFFILIATES (FKA ARKEMA INC.),2025,fourth_quarter,310000,energy storage,6d80ee2a-3704-4912-8b34-aea09b08282a
